County,Date,Field_ID,Sex,Size_cm,Waterway,City,Probable_Cause
Volusia,2024-05-25,MNE24034,M,125,Strickland Creek,Ormond Beach,Perinatal (<= 150 cm)
Sarasota,2024-05-25,MSW24069,F,113,Phillippi Creek,Sarasota,Perinatal (<= 150 cm)
Brevard,2024-05-26,MEC24071,F,138,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Volusia,2024-05-26,MNE24035,F,125,Tomoka River,Ormond Beach,Perinatal (<= 150 cm)
Wakulla,2024-05-26,MNW24080,F,215,Wakulla River,St. Marks,Verified; Not Necropsied
Monroe,2024-05-26,MSE24043,F,300,Community Harbor,Tavernier,Verified; Not Necropsied
Volusia,2024-05-27,MNE24036,F,122,Tomoka River,Ormond Beach,Perinatal (<= 150 cm)
St. Johns,2024-05-27,MNE24037,M,106,Tolomato River,Ponte Vedra,Perinatal (<= 150 cm)
Pinellas,2024-05-27,MNW24081,M,116,77th Avenue Canal,St. Petersburg,Perinatal (<= 150 cm)
Glades,2024-05-28,MSW24070,F,310,Indian Prairie Canal,Cabbage Island,Undetermined: Too Decomposed
Lee,2024-05-28,MSW24071,F,150,Caloosahatchee River,North Ft. Myers,Perinatal (<= 150 cm)
Volusia,2024-05-30,MEC24072,F,288,Indian River North,Oak Hill,Human Related: Watercraft Collision
Brevard,2024-05-30,MEC24073,M,118,Indian River,Allenhurst,Perinatal (<= 150 cm)
Charlotte,2024-05-30,MSW24072,M,289,Little Alligator Creek,Port Charlotte,Natural: Other
Hillsborough,2024-05-31,MNW24082,F,130,Old Tampa Bay,Tampa,Perinatal (<= 150 cm)
Lee,2024-05-31,MSW24073,F,210,Jewfish Creek,Cape Coral,Verified; Not Necropsied
Manatee,2024-06-01,MNW24083,F,241,Warner West Bayou,Bradenton,Verified; Not Necropsied
Glades,2024-06-01,MSW24074,M,323,Caloosahatchee River,Moore Haven,Human Related: Flood Gate/Canal Lock
Monroe,2024-06-01,SWFTm2437,M,280,South Creek,Key Largo,Human Related: Watercraft Collision
Lee,2024-06-02,MSW24075,F,290,Caloosahatchee River,Cape Coral,Verified; Not Necropsied
Wakulla,2024-06-03,MNW24084,M,135,Apalachee Bay,Crawfordville,Perinatal (<= 150 cm)
Glades,2024-06-03,MSW24076,U,275,Rim Canal,Clewiston,Verified; Not Necropsied
Lee,2024-06-03,MSW24077,F,273,Caloosahatchee River,Ft. Myers,Verified; Not Necropsied
Pinellas,2024-06-04,MNW24085,F,335,Safety Harbor,Oldsmar,Verified; Not Necropsied
Gulf,2024-06-04,MNW24086,M,320,Saint Joseph Bay,Port St. Joe,Human Related: Watercraft Collision
Lee,2024-06-04,MSW24078,M,139,Caloosahatchee River,Cape Coral,Perinatal (<= 150 cm)
Brevard,2024-06-05,MEC24074,U,310,Indian River,Malabar,Undetermined: Too Decomposed
Lee,2024-06-06,MSW24079,M,233,Ten Mile Canal,Ft. Myers,Verified; Not Necropsied
Lee,2024-06-06,MSW24080,M,224,Pine Island Sound,St. James City,Verified; Not Necropsied
Citrus,2024-06-07,MNW24087,F,150,Kings Bay,Crystal River,Perinatal (<= 150 cm)
St. Lucie,2024-06-07,MSE24044,M,251,St. Lucie River,Port St Lucie,Undetermined: Too Decomposed
Sarasota,2024-06-07,MSW24081,F,295,Big Slough,North Port,Verified; Not Necropsied
Brevard,2024-06-08,MEC24075,M,100,Indian River,Merritt Island,Perinatal (<= 150 cm)
Brevard,2024-06-08,MEC24076,M,105,Indian River,Merritt Island,Perinatal (<= 150 cm)
Brevard,2024-06-08,MEC24077,F,93,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
St. Lucie,2024-06-08,MSE24045,F,281,Ft. Pierce Inlet,Ft. Pierce,Human Related: Watercraft Collision
Brevard,2024-06-09,MEC24078,M,130,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
St. Johns,2024-06-09,MNE24038,M,120,Matanzas River,St. Augustine,Perinatal (<= 150 cm)
Volusia,2024-06-10,MNE24039,M,140,Tomoka River,Ormond Beach,Perinatal (<= 150 cm)
Indian River,2024-06-11,MEC24079,F,141,Indian River,Sebastian,Perinatal (<= 150 cm)
Nassau,2024-06-12,MNE24040,M,135,Walker Creek,Fernandina Beach,Perinatal (<= 150 cm)
Miami-Dade,2024-06-13,MSE24046,U,240,C-8 canal,Miami,Human Related: Other
Manatee,2024-06-14,MNW24088,M,322,Sarasota Bay,Cortez,Human Related: Watercraft Collision
Brevard,2024-06-16,MEC24080,M,300,Indian River,Grant-Valkaria,Human Related: Watercraft Collision
Duval,2024-06-16,MNE24041,U,285,St. Johns River,Jacksonville,Verified; Not Necropsied
Volusia,2024-06-17,JZGTm2309,M,182,Lake Woodruff,De Leon Springs,Human Related: Watercraft Collision
Collier,2024-06-17,MSW24082,M,145,Wiggins Pass,Naples,Perinatal (<= 150 cm)
Monroe,2024-06-19,MSE24047,M,291,Atlantic Ocean,Key Largo,Human Related: Watercraft Collision
Manatee,2024-06-20,MNW24089,M,298,Manatee River,Ellenton,Undetermined: Too Decomposed
Martin,2024-06-20,MSE24048,F,312,St. Lucie River,Palm City,Human Related: Watercraft Collision
Volusia,2024-06-22,MEC24081,M,110,Indian River North,Edgewater,Perinatal (<= 150 cm)
Brevard,2024-06-22,MEC24082,M,130,Haulover Canal,Allenhurst,Perinatal (<= 150 cm)
